"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100","X101","X102","X103","X104","X105","X106","X107","X108","X109","X110","X111","X112","X113","X114","X115","X116","X117","X1.1","X2.1","X3.1","X4.1","X5.1","X6.1","X7.1","X8.1","X9.1","X10.1","X11.1","X12.1","X13.1","X14.1","X15.1","X16.1","X17.1","X18.1","X19.1","X20.1","X21.1","X22.1","X23.1","X24.1","X25.1","X26.1","X27.1","X28.1","X29.1","X30.1","X31.1","X32.1","X33.1","X34.1","X35.1","X36.1","X37.1","X38.1","X39.1","X40.1","X41.1","X42.1","X43.1","X44.1","X45.1","X46.1","X47.1","X48.1","X49.1","X50.1","X51.1","X52.1","X53.1","X54.1","X55.1","X56.1","X57.1","X58.1","X59.1","X60.1","X61.1","X62.1","X63.1","X64.1","X65.1","X66.1","X67.1","X68.1","X69.1","X70.1","X71.1","X72.1","X73.1","X74.1","X75.1","X76.1","X77.1","X78.1","X79.1","X80.1","X81.1","X82.1","X83.1","X84.1","X85.1","X86.1","X87.1","X88.1","X89.1","X90.1","X91.1","X92.1","X93.1","X94.1","X95.1","X96.1","X97.1","X98.1","X99.1","X100.1","X101.1","X102.1","X103.1","X104.1","X105.1","X106.1","X107.1","X108.1","X109.1","X110.1","X111.1","X112.1","X113.1","X114.1","X115.1","X116.1","X117.1"
"1",1,0,0,1,1,1,0,0,0,1,1,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,15,11,18,12,18,14,11,4,0,1,2,15,4,16,8,12,18,18,15,12,8,19,2,20,20,12,10,12,16,16,1,20,27,17,10,17,16,1,9,19,9,11,13,15,8,5,7,16,16,6,18,16,20,20,19,15,19,19,19,14,2,18,13,13,12,11,17,4,4,1,4,21,30,9,2,2,15,2,24,8,14,7,21,9,6,26,3,4,8,1,3,10,8,5,11,8,3,17,17,18,3,17,2,11,16,11,10,19,9,17,7,5,10,15,15,21
"2",0,1,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,1,1,0,1,1,0,1,1,0,1,0,0,0,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,1,0,0,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,15,0,4,3,3,3,1,4,19,15,14,17,0,11,1,7,3,3,3,0,3,7,4,13,5,5,3,5,3,1,1,14,5,42,32,5,2,1,14,6,4,6,4,2,0,7,20,8,1,1,21,3,1,5,5,4,0,4,4,4,1,13,3,2,2,3,4,32,11,11,14,11,36,45,6,17,17,30,13,39,23,29,22,36,24,9,41,12,19,23,16,18,25,7,10,4,7,12,2,2,3,18,2,17,4,1,4,5,4,24,2,8,10,5,0,0,6
"3",0,1,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,1,1,0,1,1,0,1,1,0,1,0,0,0,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,1,0,0,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,11,4,0,7,1,7,3,0,15,11,10,13,4,7,5,3,1,7,7,4,1,3,8,9,9,9,1,1,1,5,5,10,9,38,28,1,6,5,10,2,8,2,0,2,4,3,16,4,5,5,17,7,5,9,9,8,4,8,8,8,3,9,7,2,2,1,0,28,7,7,10,7,32,41,2,13,13,26,9,35,19,25,18,32,20,5,37,8,15,19,12,14,21,3,6,0,3,8,6,6,7,14,6,13,0,5,0,1,8,20,6,4,6,1,4,4,10
"4",1,0,0,1,1,1,0,0,0,1,1,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,18,3,7,0,6,0,4,7,22,18,17,20,3,14,2,10,6,0,0,3,6,10,1,16,2,2,6,8,6,2,2,17,2,45,35,8,1,2,17,9,1,9,7,5,3,10,23,11,2,2,24,0,2,2,2,1,3,1,1,1,4,16,0,5,5,6,7,35,14,14,17,14,39,48,9,20,20,33,16,42,26,32,25,39,27,12,44,15,22,26,19,21,28,10,13,7,10,15,1,1,0,21,1,20,7,2,7,8,1,27,1,11,13,8,3,3,3
"5",1,0,0,1,1,1,0,0,0,1,1,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,12,3,1,6,0,6,2,1,16,12,11,14,3,8,4,4,0,6,6,3,0,4,7,10,8,8,0,2,0,4,4,11,8,39,29,2,5,4,11,3,7,3,1,1,3,4,17,5,4,4,18,6,4,8,8,7,3,7,7,7,2,10,6,1,1,0,1,29,8,8,11,8,33,42,3,14,14,27,10,36,20,26,19,33,21,6,38,9,16,20,13,15,22,4,7,1,4,9,5,5,6,15,5,14,1,4,1,2,7,21,5,5,7,2,3,3,9
"6",1,0,0,1,1,1,0,0,0,1,1,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,18,3,7,0,6,0,4,7,22,18,17,20,3,14,2,10,6,0,0,3,6,10,1,16,2,2,6,8,6,2,2,17,2,45,35,8,1,2,17,9,1,9,7,5,3,10,23,11,2,2,24,0,2,2,2,1,3,1,1,1,4,16,0,5,5,6,7,35,14,14,17,14,39,48,9,20,20,33,16,42,26,32,25,39,27,12,44,15,22,26,19,21,28,10,13,7,10,15,1,1,0,21,1,20,7,2,7,8,1,27,1,11,13,8,3,3,3
"7",0,1,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,1,1,0,1,1,0,1,1,0,1,0,0,0,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,1,0,0,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,14,1,3,4,2,4,0,3,18,14,13,16,1,10,2,6,2,4,4,1,2,6,5,12,6,6,2,4,2,2,2,13,6,41,31,4,3,2,13,5,5,5,3,1,1,6,19,7,2,2,20,4,2,6,6,5,1,5,5,5,0,12,4,1,1,2,3,31,10,10,13,10,35,44,5,16,16,29,12,38,22,28,21,35,23,8,40,11,18,22,15,17,24,6,9,3,6,11,3,3,4,17,3,16,3,2,3,4,5,23,3,7,9,4,1,1,7
"8",0,1,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,1,1,0,1,1,0,1,1,0,1,0,0,0,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,1,0,0,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,11,4,0,7,1,7,3,0,15,11,10,13,4,7,5,3,1,7,7,4,1,3,8,9,9,9,1,1,1,5,5,10,9,38,28,1,6,5,10,2,8,2,0,2,4,3,16,4,5,5,17,7,5,9,9,8,4,8,8,8,3,9,7,2,2,1,0,28,7,7,10,7,32,41,2,13,13,26,9,35,19,25,18,32,20,5,37,8,15,19,12,14,21,3,6,0,3,8,6,6,7,14,6,13,0,5,0,1,8,20,6,4,6,1,4,4,10
"9",0,1,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,1,1,0,1,1,0,1,1,0,1,0,0,0,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,1,0,0,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,4,19,15,22,16,22,18,15,0,4,5,2,19,8,20,12,16,22,22,19,16,12,23,6,24,24,16,14,16,20,20,5,24,23,13,14,21,20,5,13,23,13,15,17,19,12,1,11,20,20,2,22,20,24,24,23,19,23,23,23,18,6,22,17,17,16,15,13,8,8,5,8,17,26,13,2,2,11,6,20,4,10,3,17,5,10,22,7,0,4,3,1,6,12,9,15,12,7,21,21,22,1,21,2,15,20,15,14,23,5,21,11,9,14,19,19,25
"10",1,0,0,1,1,1,0,0,0,1,1,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,15,11,18,12,18,14,11,4,0,1,2,15,4,16,8,12,18,18,15,12,8,19,2,20,20,12,10,12,16,16,1,20,27,17,10,17,16,1,9,19,9,11,13,15,8,5,7,16,16,6,18,16,20,20,19,15,19,19,19,14,2,18,13,13,12,11,17,4,4,1,4,21,30,9,2,2,15,2,24,8,14,7,21,9,6,26,3,4,8,1,3,10,8,5,11,8,3,17,17,18,3,17,2,11,16,11,10,19,9,17,7,5,10,15,15,21
