id_individual,Sex_1_0,Haplotype,Number_sightings,Av_water_depth,Av_group_size,Sponger,Demons_sponging_forage,Sp_Order_acquisition,Mum_known,Not_weaned
AAN,0,NA,1,15.7,2,no,NA,NA,yes,0
ABB,-0.5,NA,1,7.9,7,no,NA,NA,no,0
ABE,0.5,E,4,8.55,6.5,yes,yes,64,no,0
ABS,0.5,E,40,12.36,6.2,yes,yes,31,no,0
ACA,0,NA,1,6.3,5,no,NA,NA,no,0
ACD,0.5,H,70,12.26571429,7.328571429,no,NA,NA,no,0
ADA,0,NA,1,12.8,2,no,NA,NA,yes,0
ADM,0,NA,3,11.2,5,no,NA,NA,no,0
ADR,-0.5,NA,1,14.7,2,no,NA,NA,no,0
AEN,0,NA,1,1.1,7,no,NA,NA,no,0
AID,0,NA,1,2.8,9,no,NA,NA,no,0
AIN,0,NA,1,9.2,7,no,NA,NA,no,0
AJA,0,NA,15,12.6,6.066666667,yes,yes,43,no,0
AKA,0,NA,0,NA,NA,no,NA,NA,no,0
ALA,0.5,E,35,12.18285714,7.485714286,no,NA,NA,no,0
ALE,0.5,E,26,5.465384615,3.653846154,no,NA,NA,no,0
ALI,-0.5,NA,22,11.20454545,5.090909091,no,NA,NA,no,0
ALL,-0.5,NA,5,4.64,4.4,no,NA,NA,no,0
ALM,0,NA,21,12.68571429,6.476190476,no,NA,NA,yes,0
ALN,0,NA,2,10.25,8.5,no,NA,NA,yes,0
AMA,-0.5,NA,1,6,8,no,NA,NA,no,0
AME,-0.5,D,3,6.266666667,2,no,NA,NA,no,0
AMI,0.5,H,14,3.985714286,3.571428571,no,NA,NA,no,0
AMP,0,NA,0,NA,NA,no,NA,NA,no,0
AMY,0,NA,2,12.1,4.5,no,NA,NA,no,0
AND,0.5,H,36,5.466666667,2.805555556,no,NA,NA,no,0
ANG,0.5,H,5,4.1,5.4,no,NA,NA,no,0
ANI,0,NA,3,12.96666667,2.666666667,no,NA,NA,yes,0
ANJ,-0.5,H,49,5.157142857,2.653061224,no,NA,NA,no,0
ANN,-0.5,H,55,5.061818182,3.327272727,no,NA,NA,no,0
ANS,0,NA,12,14.85,2.166666667,no,NA,NA,yes,0
APP,0,NA,9,5.1,3.666666667,no,NA,NA,no,0
APR,-0.5,NA,1,6.5,6,no,NA,NA,no,0
AQU,0,NA,1,12.8,2,no,NA,NA,yes,0
ARA,0.5,E,24,13.2,6.291666667,no,NA,NA,no,0
ARC,0,NA,2,4.6,7.5,no,NA,NA,no,0
ARI,0,NA,7,3.414285714,6.857142857,no,NA,NA,no,0
ARL,0.5,E,12,12.13333333,2.5,yes,yes,62,no,0
ARM,0,NA,4,13.43333333,8,no,NA,NA,yes,0
ARN,-0.5,E,76,5.246052632,4.302631579,no,NA,NA,no,0
ART,0,NA,1,14.8,2,no,NA,NA,yes,0
ASH,-0.5,NA,2,1.35,6.5,no,NA,NA,no,0
AST,0,NA,5,7.52,5.6,no,NA,NA,no,0
ATH,0.5,E,45,13.26666667,6.555555556,no,NA,NA,no,0
ATI,0.5,E,37,13.11944444,5.945945946,yes,yes,37,no,0
AUG,0,NA,3,8.166666667,4.333333333,no,NA,NA,no,0
AUS,0,NA,2,5.05,6.5,no,NA,NA,no,0
AXE,0,NA,9,6.077777778,5.777777778,no,NA,NA,no,0
BAA,0,NA,1,NA,2,no,NA,NA,no,0
BAB,0.5,E,29,3.792592593,8,no,NA,NA,no,0
BAC,0.5,E,7,10.21428571,9.571428571,no,NA,NA,no,0
BAD,0,NA,2,6.8,2,no,NA,NA,yes,0
BAI,-0.5,E,20,13.35,2.7,yes,yes,19,no,0
BAK,0,NA,9,4.7,8.555555556,no,NA,NA,no,0
BAN,-0.5,NA,7,6.714285714,4.571428571,no,NA,NA,no,0
BAQ,-0.5,E,18,4.766666667,6.722222222,no,NA,NA,no,0
BAR,-0.5,NA,5,6.3,5.4,no,NA,NA,no,0
BAS,0,NA,3,11.56666667,6.333333333,no,NA,NA,no,0
BAT,0,NA,4,6.65,8.5,no,NA,NA,no,0
BAU,0,NA,5,5.52,9.8,no,NA,NA,no,0
BBO,0,NA,0,NA,NA,no,NA,NA,no,0
BBR,0,NA,1,10.6,1,no,NA,NA,no,0
BCD,-0.5,NA,12,12.01666667,2.583333333,yes,yes,51,no,0
BDO,0,NA,1,4.8,7,no,NA,NA,yes,0
BDR,0,NA,1,6.5,1,no,NA,NA,no,0
BEA,0.5,E,79,8.167948718,5.025316456,no,NA,NA,no,0
BEC,0.5,H,95,5.866666667,5.126315789,no,NA,NA,no,0
BEE,0,NA,6,10.96666667,4,no,NA,NA,yes,0
BEL,0,NA,2,9.75,4,no,NA,NA,yes,0
BEM,0,NA,11,6.518181818,2.181818182,no,NA,NA,yes,0
BEN,-0.5,H,19,10.70526316,5.684210526,no,NA,NA,no,0
BER,0,NA,1,8.7,2,no,NA,NA,yes,0
BET,-0.5,I,1,13.5,1,no,NA,NA,no,0
BEV,0,NA,1,7.6,1,no,NA,NA,no,0
BFY,0,NA,1,10.1,8,no,NA,NA,no,0
