"","F238","F256","F262","F175","FB78","F146","F198","F142","F276","1651","CTS4","F165","F246","RTM4","F237","F239","F153","FB15","F236","F284","FB02","FB27","BOXR","F164","F242","F258","FB20","ULYS","F209","F159","F233","F222","F220","F228","C114","F179","FB11","F187","F197","F243","F270","F280","FB90","1092","1316","F109","F131","1231","F123","F199","F266","F254","FB44","F110","SOLB","WLET","C258","C935","F221","F252","FB25","F108","F194","SCSM","LNLD","STE1","TNBP","F264","F196","F268","ORNG","F234","F247","1315","FB10","FB66","1753","F278","FB07","C548","C655","FB54","FB65","PSDQ","1253","F125","F148","HOV2","HOVC","1511","F151","F126","F162","F227","F272","F138","F213","F241","F133","F245","HAIR","HLP4","F135","C555","F282","FB33","FB55","F128","FB92","F173","F250","F137","F235","C874","FB87","B053","F224","RTM5","RTMW","1494","DAB1","DABL","PSC3","F205","MPTB","RY34","BRD3","C798","FB79","F207","C835","DAFT","F248","JOSC","FB28","C911","F217","TDTC","ULY2","1673","1711","AMV1","AMVM","F167","F171","LNL1","FB35","SCS1","HWK3","IKN2","4C4C","HBM3","HBMB","F190","HOVA","ZELD","ZEL2","2253","F223","F225","LNCC","WENT","F113","F274","F178","F188","NIP2","BIK2","BIKO","MTBG","MUC4","MUCH","2193","F219","1495","F149","F229","LNPF","2151","F215","F232","F155","PSC6","F211","AMTS","PRST","TKID","C834","F182","F154","F102","HIQQ","SCS2","CMRS","LNC2","LNPC","ULY3","MLVN","JETY","F240","1414","C912","C991","F141","F176","F185","HITS","1134","1317","FRN3","FRNG","HSN4","HSNS","F114","1454","LIZ1","STEW","MORN","GRGO","HSN3","B207","OIEA","PRF2","YOKE","ZEDC","1992","BKHO","BNST","PHL2","CATW","LIZD","PRFR","MJM2","F158","F231","1791","2091","4NIC","BNDS","BTWO","CASA","CENT","HAAK","HVT1","HVTI","J001","NIGT","PMTI","BUBB","GPHK","VCRO","BOO3","BOOT","PNB3","PNBT","UND2","UNDG","VSTH","YANK","RTM3","JPJK","GADG","PFYT","PIHI","RNMK","HVMS","CW32","CWM3","HBM4","MANT","HMLC","BBLN","HOKA","TRIM","1593","DAB2","C330","PSC5","TCT1","1456","F180","HMLT","M145","MEAD","MIDF","MTSS","Q5LA","BLNK","HLPC","B023","LDM3","SIMP","TDTL","2152","2194","SGL1","ATMM","BASH","GRW2","B531","1496","FZJS","NYDT","TCTV","2231","CL-4942","ENM2","LBHL","R27L","MORB","NKAL","SQBT","LYFN","TRIF","1674","KNNN","F193","BRAN","BRN1","NADW","MFLC","GUPN","MM72","LWHP","RTM2","GRWW","JBAK","WLDC","RCNM","DAIN","1556","F249","BBRD","L108","PHIL","FFCH","SPEG","CRUM","LLLN","SNOT","BARE","NEWT","OCTV","LCKL","WRTH","QECD","WTKN"
"F238",0,38,40,66,49,64,43,54,52,37,23,38,53,31,40,40,38,40,41,49,40,48,37,46,48,49,51,27,56,67,57,55,32,46,57,90,57,68,73,72,51,66,51,54,58,60,72,69,69,42,57,34,34,32,31,26,48,39,46,41,48,27,25,27,39,26,24,36,52,52,24,16,65,44,38,27,42,44,44,76,62,77,62,26,38,38,66,24,23,48,47,29,29,45,47,74,68,60,62,63,36,37,63,73,58,72,72,49,45,51,52,54,45,33,33,34,26,26,27,31,28,36,22,30,34,39,23,39,41,47,31,24,31,21,29,36,38,37,31,34,25,35,38,35,29,34,30,40,37,24,30,23,25,25,23,24,25,31,30,29,35,31,54,43,45,45,26,26,26,27,26,26,27,29,26,27,42,28,44,67,39,62,24,40,24,24,24,44,43,24,28,28,34,33,29,29,25,27,25,25,25,29,30,25,40,22,31,52,65,48,48,25,25,28,23,22,23,23,30,23,24,25,26,23,24,38,26,22,22,21,23,21,23,23,21,53,45,21,21,23,22,25,21,26,27,22,24,23,24,22,22,23,23,24,24,23,24,23,24,27,23,21,24,23,23,22,25,25,24,23,22,21,21,22,47,31,52,22,26,25,21,23,25,21,21,21,21,22,25,26,25,23,32,55,26,22,23,23,22,28,25,24,26,24,28,24,21,21,22,21,22,21,22,22,26,21,24,27,27,24,22,22,21,21,23,22,21,21,21,21,29,21,23,22,23,21,23,22,21,21,21,22,21,21,21,21,21
"F256",38,0,20,70,53,68,47,58,56,41,27,42,53,35,44,44,42,44,45,49,44,50,41,50,52,53,55,31,60,71,61,61,36,50,61,92,61,72,77,76,53,70,53,56,60,62,74,75,75,46,55,38,38,36,33,30,54,35,50,39,54,31,29,31,43,30,28,42,56,56,28,38,69,28,44,31,34,48,48,80,66,81,66,30,42,42,72,28,27,54,53,33,33,49,51,78,74,58,66,67,40,41,67,77,66,76,76,53,51,59,60,58,49,35,35,36,30,30,31,35,32,38,26,34,36,41,27,41,43,53,37,28,35,25,33,40,42,41,35,36,27,39,42,37,31,38,34,44,37,30,34,27,29,29,27,28,29,35,34,33,39,33,58,49,51,51,30,30,30,31,30,30,35,33,30,31,46,32,48,71,41,68,28,46,28,28,28,48,47,28,32,32,38,37,33,33,29,31,29,29,29,33,34,29,44,26,35,56,67,52,52,29,29,32,27,26,27,27,34,27,28,29,30,27,28,38,30,26,26,25,27,25,27,27,25,57,49,25,25,27,26,29,25,30,31,26,28,27,28,26,26,27,27,28,28,27,28,27,28,31,27,25,28,27,27,26,29,29,28,27,26,25,25,26,51,33,56,26,30,29,25,27,29,25,25,25,25,26,29,30,29,27,36,59,30,26,27,27,26,32,29,28,30,28,32,28,25,25,26,25,26,25,26,26,30,25,28,31,31,28,26,26,25,25,27,26,25,25,25,25,33,25,27,26,27,25,27,26,25,25,25,26,25,25,25,25,25
"F262",40,20,0,72,55,68,47,58,56,41,27,42,53,35,44,44,40,42,45,49,44,52,41,50,52,53,55,31,60,71,61,61,36,50,61,92,61,72,77,76,53,70,53,56,62,62,72,75,75,46,59,40,40,38,35,28,50,37,44,41,52,31,29,31,41,30,28,40,56,56,28,40,71,32,46,33,40,48,48,80,66,81,66,30,42,42,72,28,27,54,53,33,33,49,51,78,74,58,66,67,40,41,67,77,66,76,76,51,49,59,62,60,49,35,35,36,30,30,31,35,32,40,26,34,38,41,25,41,43,55,37,28,35,25,33,40,42,41,35,36,27,37,40,37,31,36,34,42,33,30,34,27,29,29,27,28,29,35,34,33,39,35,58,49,51,51,30,30,30,31,30,30,35,33,30,31,46,32,48,71,43,68,28,46,28,28,28,48,47,28,32,32,38,37,33,33,29,31,29,29,29,33,34,29,44,26,35,56,65,52,52,29,29,32,27,26,27,27,32,27,28,29,30,27,28,40,30,26,26,25,27,25,27,27,25,57,49,25,25,27,26,29,25,30,31,26,28,27,28,26,26,27,27,28,28,27,28,27,28,31,27,25,28,27,27,26,29,29,28,27,26,25,25,26,51,35,56,26,30,29,25,27,29,25,25,25,25,26,29,30,29,27,36,59,30,26,27,27,26,32,29,28,30,28,32,28,25,25,26,25,26,25,26,26,30,25,28,31,31,28,26,26,25,25,27,26,25,25,25,25,33,25,27,26,27,25,27,26,25,25,25,26,25,25,25,25,25
"F175",66,70,72,0,79,94,73,82,80,67,53,68,83,61,70,70,66,68,69,79,70,78,67,76,78,77,79,57,82,89,85,87,62,76,83,110,83,96,103,102,81,96,81,80,88,86,94,95,95,62,83,64,64,64,63,56,78,65,74,71,78,57,55,57,69,56,54,68,80,80,54,66,1,76,70,57,62,74,74,106,92,107,92,56,66,66,98,54,53,78,77,59,59,75,77,102,96,88,92,93,66,67,93,99,90,102,98,79,75,83,88,86,75,63,63,64,56,56,57,61,58,66,52,58,64,69,53,69,71,77,63,54,61,51,59,66,68,67,61,64,55,65,68,65,59,64,60,70,65,58,60,53,55,55,53,54,51,61,60,59,65,61,84,73,77,77,56,56,56,57,56,56,61,59,56,57,72,58,74,95,71,88,54,70,54,54,54,70,69,54,58,58,64,63,59,59,55,57,55,55,55,59,60,55,70,52,61,82,89,76,76,55,55,58,53,52,53,53,60,53,54,55,56,53,54,60,56,52,52,51,53,51,53,53,51,75,71,51,51,53,52,55,51,56,57,52,54,53,54,52,52,53,53,54,54,53,54,53,54,57,53,51,54,53,53,52,55,55,54,53,52,51,51,52,71,61,82,52,56,55,51,53,55,51,51,51,51,52,55,56,55,53,62,83,56,52,53,53,52,58,55,54,56,54,58,54,51,51,52,51,52,51,52,52,56,51,54,57,57,54,52,52,51,51,53,52,51,51,51,51,59,51,53,52,53,51,53,52,51,51,51,52,51,51,51,51,51
"FB78",49,53,55,79,0,77,56,67,65,50,36,51,66,44,53,53,49,53,54,62,53,61,50,59,61,62,64,40,69,80,70,70,45,59,70,103,70,81,86,85,64,79,64,63,65,69,81,82,82,55,70,49,49,49,46,37,59,54,59,56,59,40,38,40,52,39,37,51,65,65,37,49,80,59,55,42,55,57,57,89,75,90,75,39,51,51,81,37,36,63,62,42,42,58,62,87,83,71,75,76,49,50,76,86,75,85,85,62,60,68,71,69,58,42,42,47,39,39,40,44,41,49,35,43,47,52,36,50,52,66,46,37,44,34,42,49,51,50,44,45,38,48,51,46,42,47,43,53,50,41,43,36,38,38,36,37,38,44,43,42,48,44,67,58,60,60,39,39,39,40,39,39,44,42,39,40,55,41,57,80,54,77,37,53,37,37,37,57,56,37,41,41,47,46,42,42,38,40,38,38,38,42,43,38,53,35,44,65,78,61,61,38,38,41,36,35,36,36,43,36,37,38,39,36,37,47,39,35,35,34,36,34,36,36,34,66,58,34,34,36,35,38,34,39,40,35,37,36,37,33,33,36,36,37,37,36,37,36,37,40,36,34,37,36,36,35,38,38,37,36,35,34,34,35,60,44,65,35,39,38,34,36,38,34,34,34,34,35,38,39,38,36,45,68,39,35,36,36,35,41,38,37,39,37,41,37,34,34,35,34,35,34,35,35,39,34,37,40,40,37,35,35,34,34,36,35,34,34,34,34,42,34,36,35,36,34,36,35,34,34,34,35,34,34,34,34,34
"F146",64,68,68,94,77,0,27,74,72,57,47,58,77,55,64,64,62,64,63,63,62,62,61,68,70,71,73,51,76,85,79,71,56,54,75,104,75,80,83,82,73,88,73,74,82,80,92,93,93,72,83,60,60,60,57,50,74,65,70,69,74,51,49,51,63,50,48,62,76,76,48,60,93,72,66,53,68,62,64,98,82,99,82,48,68,68,82,48,47,72,71,53,53,61,71,86,92,84,82,83,60,61,83,93,86,94,92,73,71,79,78,78,67,57,57,58,50,50,51,55,52,60,46,52,58,63,47,63,65,77,57,48,55,45,53,60,62,61,55,58,49,59,62,59,53,58,54,64,61,52,54,47,49,49,47,48,49,55,54,53,59,55,78,69,55,55,50,50,50,51,50,50,55,53,50,51,64,52,68,89,65,84,48,66,48,48,48,68,67,48,52,52,58,57,53,53,49,51,49,49,49,53,54,49,62,46,55,76,85,70,70,49,49,52,47,46,47,47,54,47,48,49,50,47,48,64,50,46,46,45,47,45,47,47,45,75,67,45,45,47,46,49,45,50,51,46,48,47,48,46,46,45,45,46,46,47,46,47,48,51,47,45,48,47,47,46,49,49,48,47,46,45,45,46,67,55,76,46,50,49,45,47,49,45,45,45,45,46,49,50,49,47,56,77,50,46,47,47,46,52,49,48,50,48,52,48,45,45,46,45,46,45,46,46,50,45,48,51,51,48,46,46,45,45,47,46,45,45,45,45,51,45,47,46,47,45,47,46,45,45,45,46,45,45,45,45,45
"F198",43,47,47,73,56,27,0,55,53,36,26,37,56,34,43,43,41,43,44,44,43,41,40,49,51,52,54,30,55,68,60,58,35,49,58,91,58,59,74,73,54,67,54,57,61,63,69,74,74,51,62,39,39,39,36,29,51,44,49,48,51,30,28,30,42,29,27,41,53,53,27,39,72,51,45,32,47,45,45,77,65,78,65,29,47,47,69,27,26,51,50,32,32,42,50,71,71,63,63,64,39,40,64,70,65,71,69,52,50,56,55,57,46,36,36,37,29,29,30,34,31,39,25,33,37,42,26,42,44,56,36,27,34,24,32,39,41,40,34,37,28,38,41,38,32,37,33,43,40,31,33,26,28,28,26,27,28,34,33,32,38,34,57,48,40,40,29,29,29,30,29,29,34,32,29,30,43,31,47,70,44,63,27,45,27,27,27,47,46,27,31,31,37,36,32,32,28,30,28,28,28,32,33,28,43,25,34,55,62,49,49,28,28,31,26,25,26,26,33,26,27,28,29,26,27,43,29,25,25,24,26,24,26,26,24,54,46,24,24,26,25,28,24,29,30,25,27,26,27,25,25,24,24,25,25,26,25,26,27,30,26,24,27,26,26,25,28,28,27,26,25,24,24,25,48,34,53,25,29,28,24,26,28,24,24,24,24,25,28,29,28,26,35,58,29,25,26,26,25,31,28,27,29,27,31,27,24,24,25,24,25,24,25,25,29,24,27,30,30,27,25,25,24,24,26,25,24,24,24,24,32,24,26,25,26,24,26,25,24,24,24,25,24,24,24,24,24
"F142",54,58,58,82,67,74,55,0,4,51,37,52,67,45,32,32,52,54,43,61,44,60,47,56,58,45,47,41,70,81,71,71,46,60,71,98,71,78,87,86,65,80,65,64,72,68,82,85,85,62,71,50,50,50,47,40,62,55,60,59,62,41,39,41,53,40,38,52,58,58,38,50,81,62,56,43,58,56,56,90,74,91,74,38,56,56,82,38,37,64,63,43,43,59,63,86,80,70,76,77,50,51,73,87,76,86,86,61,61,69,72,68,57,47,47,48,40,40,41,45,42,50,36,44,48,53,37,53,55,63,47,38,45,35,43,50,52,51,45,48,39,49,52,49,43,48,44,54,49,42,40,37,39,39,37,38,37,45,44,43,49,45,68,59,59,59,40,38,38,41,40,40,45,41,40,41,56,42,58,81,55,76,38,46,38,38,38,46,45,38,42,42,48,47,43,43,39,41,39,39,39,43,44,39,54,36,45,66,75,60,60,39,39,42,37,36,37,37,44,37,38,39,40,37,38,54,40,36,36,35,37,35,37,37,35,67,59,35,35,37,36,39,35,40,41,36,38,37,38,36,36,37,37,38,38,37,38,37,38,41,37,35,38,37,37,36,39,39,38,37,36,35,35,36,61,45,66,36,40,39,35,37,39,35,35,35,35,36,39,40,39,37,46,69,38,36,37,37,36,42,39,38,40,38,42,38,35,35,36,35,36,35,36,34,40,33,38,41,41,38,36,36,35,35,37,36,35,35,35,35,43,35,37,36,35,35,37,36,35,35,35,36,35,35,35,35,35
"F276",52,56,56,80,65,72,53,4,0,49,35,50,65,43,30,30,50,52,41,59,42,58,45,54,56,43,45,39,68,79,69,69,44,58,69,96,69,76,85,84,63,78,63,62,70,66,82,83,83,60,69,48,48,48,45,38,60,53,58,57,60,39,37,39,51,38,36,50,56,56,36,48,79,60,54,41,56,54,54,88,72,89,72,36,54,54,80,36,35,62,61,41,41,57,61,84,78,68,74,75,48,49,73,85,74,84,84,59,59,67,70,68,57,45,45,46,38,38,39,43,40,48,34,42,46,51,35,51,53,61,45,36,43,33,41,48,50,49,43,46,37,47,50,47,41,46,42,52,47,40,38,35,37,37,35,36,35,43,42,41,47,43,66,57,57,57,38,36,36,39,38,38,43,39,38,39,54,40,56,79,53,76,36,44,36,36,36,44,43,36,40,40,46,45,41,41,37,39,37,37,37,41,42,37,52,34,43,64,75,60,60,37,37,40,35,34,35,35,42,35,36,37,38,35,36,52,38,34,34,33,35,33,35,35,33,65,57,33,33,35,34,37,33,38,39,34,36,35,36,34,34,35,35,36,36,35,36,35,36,39,35,33,36,35,35,34,37,37,36,35,34,33,33,34,59,43,64,34,38,37,33,35,37,33,33,33,33,34,37,38,37,35,44,67,36,34,35,35,34,40,37,36,38,36,40,36,33,33,34,33,34,33,34,32,38,31,36,39,39,36,34,34,33,33,35,34,33,33,33,33,41,33,35,34,33,33,35,34,33,33,33,34,33,33,33,33,33
"1651",37,41,41,67,50,57,36,51,49,0,18,3,50,28,37,37,35,37,38,42,37,41,34,43,45,46,48,24,53,64,54,50,25,39,50,87,50,65,70,69,48,63,48,51,55,57,69,68,68,45,56,33,33,33,30,23,47,38,43,42,47,24,22,24,36,23,21,35,49,49,21,33,66,45,39,26,41,37,37,73,55,74,55,21,43,43,63,21,20,47,46,26,26,42,46,71,67,57,55,56,33,34,60,68,59,69,67,46,44,52,55,53,42,30,30,31,23,23,24,28,25,33,19,27,31,36,20,36,38,50,30,21,28,18,26,33,35,34,28,31,22,32,35,32,26,31,27,37,34,25,27,20,22,22,20,21,22,28,27,26,32,28,47,42,44,44,23,23,23,24,23,23,28,24,23,24,39,25,41,64,38,61,21,39,21,21,21,41,40,19,25,25,31,30,26,26,22,24,22,22,22,26,27,22,35,19,28,45,62,45,45,22,22,25,18,19,20,20,27,20,21,22,23,20,21,37,23,19,19,18,20,18,20,20,18,50,42,18,18,20,19,22,18,23,24,19,21,20,21,19,19,20,20,21,21,20,21,20,21,24,20,18,21,20,20,19,20,20,21,20,19,18,18,19,44,28,49,17,23,20,18,18,20,18,18,18,18,19,22,23,22,20,29,52,21,19,20,20,19,25,22,21,23,21,25,21,18,18,19,18,19,18,19,19,23,18,21,24,24,21,19,19,18,18,18,19,18,18,18,18,26,18,20,19,20,18,20,19,18,18,18,19,18,18,18,16,16
