"","x"
"1",538.570184222879
"2",537.221269723829
"3",540.53182953959
"4",536.30736759445
"5",538.864945119366
"6",537.481067936602
"7",529.046077267498
"8",538.083754825048
"9",529.187412524276
"10",537.97089060454
"11",537.810080433725
"12",542.97391101799
"13",538.981694896254
"14",536.540911702514
"15",540.759517331297
"16",541.078729680048
"17",528.048505406334
"18",541.128878339493
"19",537.095653565082
"20",536.188028036304
"21",532.023389296757
"22",538.577610876185
"23",534.751708593935
"24",544.618129989739
"25",528.944578346111
"26",543.721154040451
"27",536.591496894833
"28",541.66516251057
"29",541.735708992889
"30",534.170846553554
"31",540.162183932497
"32",531.579741918274
"33",545.43437559488
"34",534.48312843038
"35",544.083460393634
"36",548.158223057245
"37",539.748522745443
"38",541.268784156631
"39",539.600830782954
"40",541.00284453837
"41",536.801927397604
"42",539.728234429047
"43",533.176877647085
"44",542.972772913099
"45",533.544643840117
"46",527.309587374889
"47",541.642072902152
"48",529.925196885575
"49",535.23140813209
"50",540.334968090165
"51",538.743018431848
"52",536.065856795902
"53",540.157702127276
"54",529.726721110963
"55",530.390173128826
"56",536.583869105103
"57",536.882369795596
"58",544.477715385766
"59",541.033662925232
"60",545.30457225909
"61",535.98292844337
"62",536.829982508451
"63",543.054703419196
"64",538.225583596277
"65",531.525456779902
"66",531.819213326084
"67",532.043441290656
"68",545.631713549327
"69",542.443128852436
"70",530.159921163383
"71",542.395220648356
"72",546.883797217022
"73",531.292815396098
"74",546.840950317518
"75",532.460227815066
"76",538.224828319396
"77",534.077373686479
"78",537.856917195669
"79",536.222920976033
"80",540.664992524596
"81",531.955844524705
"82",528.852877427877
"83",532.280339012532
"84",542.328523151119
"85",541.208451334831
"86",534.385021185496
"87",545.703474539053
"88",546.155145593234
"89",535.217374190329
"90",544.323634188343
"91",536.554512600445
"92",539.056239215668
"93",534.404181199654
"94",535.534100994799
"95",541.11985652267
"96",540.223208135833
"97",530.709669214045
"98",540.240937856311
"99",544.011600192002
"100",540.267980619836
"101",542.38777099256
"102",544.606959119209
"103",540.751289654084
"104",542.814796132877
"105",533.693322195799
"106",534.296710380988
"107",539.83985624062
"108",534.167122496227
"109",544.057055628203
"110",537.349078415265
"111",539.575903996624
"112",539.529689361036
"113",539.684344524357
"114",536.927341515175
"115",538.650147504858
"116",539.60748274924
"117",529.685894070051
"118",532.831576006468
"119",533.546248757478
"120",537.085533917261
"121",533.322780714034
"122",538.681100208153
"123",539.807847038162
"124",533.560344268488
"125",532.490652079257
"126",534.548881863954
"127",536.413513810348
"128",524.463706304581
"129",542.079395542476
"130",537.332778693126
"131",541.332343957792
"132",534.034052419106
"133",534.694989468701
"134",545.562445977389
"135",546.50175995692
"136",529.131585843842
"137",540.859158279539
"138",536.137303162619
"139",536.901182551948
"140",527.936311948765
"141",531.093017601423
"142",524.8182312894
"143",535.714962241172
"144",540.173898251325
"145",541.129999682134
"146",541.49356435774
"147",535.187599815486
"148",536.650709217982
"149",530.058239678886
"150",535.892286038193
"151",536.384971161076
"152",548.395171060887
"153",541.787269668459
"154",543.325284066703
"155",537.930971386191
"156",539.790029983878
"157",545.23910427424
"158",537.880821174864
"159",541.99793705108
"160",540.19252034276
"161",544.282789492293
"162",538.808423653301
"163",532.611570385925
"164",532.128458894505
"165",533.694574081783
"166",537.3792163605
"167",541.304853021449
"168",535.654059059883
"169",537.992867173001
"170",533.457205367518
"171",543.472092936706
"172",541.669437446998
"173",531.747936710635
"174",543.223196363234
"175",540.604194666356
"176",537.307436179977
"177",539.536715299917
"178",531.720152584146
"179",542.977496998442
"180",532.456284713938
"181",540.443026141013
"182",537.588786335935
"183",540.318251863411
"184",537.742173681419
"185",540.688943598368
"186",536.82368573497
"187",548.843079328828
"188",533.27037873006
"189",544.839984791233
"190",542.872053651745
"191",547.333884401995
"192",538.40728691686
"193",533.621858965956
"194",535.490701923649
"195",531.409841599585
"196",544.186623730483
"197",545.672568472107
"198",533.118635485234
"199",547.127275068096
"200",538.994129880736
"201",533.671543841252
"202",534.234694488886
"203",538.385629851786
"204",538.371777587496
"205",532.220246914363
"206",537.763853174229
"207",544.529217301065
"208",525.840470879953
"209",543.086436550662
"210",535.342806926707
"211",540.03852619962
"212",533.372799408358
"213",540.137899183209
"214",537.37574720232
"215",532.051622680283
"216",531.812702543232
"217",538.821524443916
"218",552.278036045477
"219",539.420751255625
"220",534.360452067533
"221",529.914517753162
"222",542.485088997092
"223",530.356071809573
"224",536.197325365507
"225",536.606982539868
