"","Code","StartLon","StartLat","optional"
"5218","F118",-82.625,27.41033,TRUE
"5220","F131",-82.625,27.41033,TRUE
"5224","FB54",-82.625,27.41033,TRUE
"5226","FB90",-82.625,27.41033,TRUE
"5229","FB05",-82.71733,27.53167,TRUE
"5230","FB07",-82.71733,27.53167,TRUE
"5231","FB09",-82.71733,27.53167,TRUE
"5232","FB11",-82.71733,27.53167,TRUE
"5233","FB27",-82.71733,27.53167,TRUE
"5234","FB33",-82.71733,27.53167,TRUE
"5239","FB66",-82.61617,27.348,TRUE
"5243","TCTV",-82.61617,27.348,TRUE
"5246","FB87",-82.63667,27.3745,TRUE
"5248","FB10",-82.69683,27.45483,TRUE
"5251","FB05",-82.70983,27.53083,TRUE
"5252","FB55",-82.70983,27.53083,TRUE
"5260","TCTV",-82.63883,27.37517,TRUE
"5262","FB05",-82.74067,27.52683,TRUE
"5263","FB33",-82.74067,27.52683,TRUE
"5266","FB48",-82.74733,27.5355,TRUE
"5271","F175",-82.57133,27.28033,TRUE
"5272","FB13",-82.57133,27.28033,TRUE
"5273","FB15",-82.57133,27.28033,TRUE
"5274","FB43",-82.57133,27.28033,TRUE
"5276","FB15",-82.57667,27.28033,TRUE
"5280","FB65",-82.6995,27.5095,TRUE
"5282","F154",-82.72,27.53617,TRUE
"5284","FB28",-82.72,27.53617,TRUE
"5288","FB92",-82.679,27.47967,TRUE
"5289","F118",-82.69417,27.5095,TRUE
"5291","FB07",-82.69417,27.5095,TRUE
"5292","FB09",-82.69417,27.5095,TRUE
"5293","FB11",-82.69417,27.5095,TRUE
"5294","FB33",-82.69417,27.5095,TRUE
"5295","FB54",-82.69417,27.5095,TRUE
"5296","FB90",-82.69417,27.5095,TRUE
"5297","F106",-82.67033,27.47833,TRUE
"5298","FB43",-82.64017,27.38167,TRUE
"5303","FB07",-82.71783,27.528,TRUE
"5304","FB09",-82.71783,27.528,TRUE
"5306","FB55",-82.71783,27.528,TRUE
"5307","FB10",-82.63233,27.3885,TRUE
"5311","F175",-82.5605,27.305,TRUE
"5314","F175",-82.56184,27.29633,TRUE
"5315","F128",-82.55083,27.28667,TRUE
"5316","F153",-82.55083,27.28667,TRUE
"5321","F138",-82.69334,27.4415,TRUE
"5322","FB07",-82.69334,27.4415,TRUE
"5323","FB09",-82.69334,27.4415,TRUE
"5324","FB54",-82.69334,27.4415,TRUE
"5325","FB55",-82.69334,27.4415,TRUE
"5326","FB63",-82.69334,27.4415,TRUE
"5327","FB65",-82.69334,27.4415,TRUE
"5328","FB90",-82.69334,27.4415,TRUE
"5329","FB92",-82.69334,27.4415,TRUE
"5330","F155",-82.67883,27.43767,TRUE
"5335","FB07",-82.69466,27.516,TRUE
"5336","FB10",-82.69466,27.516,TRUE
"5337","FB27",-82.69466,27.516,TRUE
"5339","FB65",-82.69466,27.516,TRUE
"5340","FB90",-82.69466,27.516,TRUE
"5341","F138",-82.67767,27.4385,TRUE
"5343","FB63",-82.67767,27.4385,TRUE
"5344","F276",-82.57133,27.2795,TRUE
"5345","FB35",-82.57133,27.2795,TRUE
"5347","FB93",-82.57133,27.2795,TRUE
"5348","FB44",-82.571,27.27983,TRUE
"5352","M145",-82.75483,27.52383,TRUE
"5360","F155",-82.675,27.43833,TRUE
"5365","F155",-82.67783,27.43533,TRUE
"5371","F118",-82.60817,27.36433,TRUE
