"","id","coords.x1","coords.x2","optional"
"5218","F118",339352.127726495,3032933.32918002,TRUE
"5220","F131",339352.127726495,3032933.32918002,TRUE
"5224","FB54",339352.127726495,3032933.32918002,TRUE
"5226","FB90",339352.127726495,3032933.32918002,TRUE
"5229","FB05",330408.75876322,3046499.86643057,TRUE
"5230","FB07",330408.75876322,3046499.86643057,TRUE
"5231","FB09",330408.75876322,3046499.86643057,TRUE
"5232","FB11",330408.75876322,3046499.86643057,TRUE
"5233","FB27",330408.75876322,3046499.86643057,TRUE
"5234","FB33",330408.75876322,3046499.86643057,TRUE
"5239","FB66",340135.595072191,3026016.36706914,TRUE
"5243","TCTV",340135.595072191,3026016.36706914,TRUE
"5246","FB87",338146.062199519,3028978.78828902,TRUE
"5248","FB10",332317.107218909,3037958.47898809,TRUE
"5251","FB05",331148.248096296,3046396.5538522,TRUE
"5252","FB55",331148.248096296,3046396.5538522,TRUE
"5260","TCTV",337933.397693764,3029055.82725245,TRUE
"5262","FB05",328095.928432525,3045995.77479141,TRUE
"5263","FB33",328095.928432525,3045995.77479141,TRUE
"5266","FB48",327451.632158439,3046965.64472135,TRUE
"5271","F175",344477.256364893,3018462.61182443,TRUE
"5272","FB13",344477.256364893,3018462.61182443,TRUE
"5273","FB15",344477.256364893,3018462.61182443,TRUE
"5274","FB43",344477.256364893,3018462.61182443,TRUE
"5276","FB15",343948.650871395,3018469.26940465,TRUE
"5280","FB65",332136.145567125,3044019.24913424,TRUE
"5282","F154",330151.96409398,3047002.10806712,TRUE
"5284","FB28",330151.96409398,3047002.10806712,TRUE
"5288","FB92",334116.593236372,3040686.66186238,TRUE
"5289","F118",332662.691698395,3044012.04426842,TRUE
"5291","FB07",332662.691698395,3044012.04426842,TRUE
"5292","FB09",332662.691698395,3044012.04426842,TRUE
"5293","FB11",332662.691698395,3044012.04426842,TRUE
"5294","FB33",332662.691698395,3044012.04426842,TRUE
"5295","FB54",332662.691698395,3044012.04426842,TRUE
"5296","FB90",332662.691698395,3044012.04426842,TRUE
"5297","F106",334971.322997697,3040526.63990167,TRUE
"5298","FB43",337810.344661673,3029777.71669648,TRUE
"5303","FB07",330353.737161224,3046093.92850233,TRUE
"5304","FB09",330353.737161224,3046093.92850233,TRUE
"5306","FB55",330353.737161224,3046093.92850233,TRUE
"5307","FB10",338595.650953023,3030524.23504613,TRUE
"5311","F175",345583.455028554,3021182.31405304,TRUE
"5314","F175",345438.826251023,3020223.44048356,TRUE
"5315","F128",346515.256812693,3019139.65559384,TRUE
"5316","F153",346515.256812693,3019139.65559384,TRUE
"5321","F138",332641.926122083,3036476.88441298,TRUE
"5322","FB07",332641.926122083,3036476.88441298,TRUE
"5323","FB09",332641.926122083,3036476.88441298,TRUE
"5324","FB54",332641.926122083,3036476.88441298,TRUE
"5325","FB55",332641.926122083,3036476.88441298,TRUE
"5326","FB63",332641.926122083,3036476.88441298,TRUE
"5327","FB65",332641.926122083,3036476.88441298,TRUE
"5328","FB90",332641.926122083,3036476.88441298,TRUE
"5329","FB92",332641.926122083,3036476.88441298,TRUE
"5330","F155",334070.502254893,3036033.08739371,TRUE
"5335","FB07",332624.12774909,3044732.87506792,TRUE
"5336","FB10",332624.12774909,3044732.87506792,TRUE
"5337","FB27",332624.12774909,3044732.87506792,TRUE
"5339","FB65",332624.12774909,3044732.87506792,TRUE
"5340","FB90",332624.12774909,3044732.87506792,TRUE
"5341","F138",334186.412558663,3036123.49800331,TRUE
"5343","FB63",334186.412558663,3036123.49800331,TRUE
"5344","F276",344476.100221943,3018370.65782984,TRUE
"5345","FB35",344476.100221943,3018370.65782984,TRUE
"5347","FB93",344476.100221943,3018370.65782984,TRUE
"5348","FB44",344509.226641448,3018406.80717392,TRUE
"5352","M145",326692.565914579,3045683.10654507,TRUE
"5360","F155",334450.093516513,3036101.10375992,TRUE
"5365","F155",334165.855881547,3035772.49565964,TRUE
"5371","F118",340950.381909668,3027815.33806933,TRUE
"5374","FB07",340950.381909668,3027815.33806933,TRUE
"5375","FB09",340950.381909668,3027815.33806933,TRUE
"5376","FB54",340950.381909668,3027815.33806933,TRUE
"5377","FB90",340950.381909668,3027815.33806933,TRUE
"5378","FB07",334316.140063999,3035918.95868285,TRUE
"5379","FB09",334316.140063999,3035918.95868285,TRUE
"5380","FB55",334316.140063999,3035918.95868285,TRUE
"5385","F162",339228.973444942,3051201.16892534,TRUE
"5386","F155",332798.279439712,3043087.09739841,TRUE
"5387","FB02",341512.376234011,3034272.69320158,TRUE
"5388","FB05",341512.376234011,3034272.69320158,TRUE
"5389","FB20",341512.376234011,3034272.69320158,TRUE
"5392","FB92",341512.376234011,3034272.69320158,TRUE
"5395","FB33",338328.556971195,3032780.5232146,TRUE
"5398","FB66",336484.856196594,3034245.44996423,TRUE
"5403","FB44",332147.503739562,3037628.35084222,TRUE
"5405","PSDQ",329051.117690156,3044782.23491928,TRUE
"5407","HBMB",327979.333982605,3045924.27241951,TRUE
"5408","TSMV",327979.333982605,3045924.27241951,TRUE
"5416","F175",343890.835300451,3017732.03280271,TRUE
"5417","FB02",343890.835300451,3017732.03280271,TRUE
"5418","F108",347228.898062977,3020810.61073336,TRUE
"5419","F276",347228.898062977,3020810.61073336,TRUE
"5420","FB35",347228.898062977,3020810.61073336,TRUE
"5421","FB43",347228.898062977,3020810.61073336,TRUE
"5422","FB93",347228.898062977,3020810.61073336,TRUE
"5426","F128",346840.289213468,3018765.53933806,TRUE
"5427","F153",346840.289213468,3018765.53933806,TRUE
"5432","BEGR",354331.229936576,3001859.05904197,TRUE
"5433","BEGR",354331.229936576,3001859.05904197,TRUE
"5434","BEGR",354331.229936576,3001859.05904197,TRUE
"5436","F108",347263.612077588,3020976.38816694,TRUE
"5437","FB36",344758.15924975,3028985.66292417,TRUE
"5440","FB36",344514.867546959,3029303.42320319,TRUE
"5442","FB44",344514.867546959,3029303.42320319,TRUE
"5445","CWM3",330585.254060352,3042618.81967804,TRUE
"5448","PSDQ",330585.254060352,3042618.81967804,TRUE
"5472","CWM3",330963.941498668,3039048.62662297,TRUE
"5475","FB90",330963.941498668,3039048.62662297,TRUE
"5480","FB25",327165.921117175,3046600.64828314,TRUE
"5482","FB87",327165.921117175,3046600.64828314,TRUE
"5483","HBMB",327165.921117175,3046600.64828314,TRUE
"5486","M145",327165.921117175,3046600.64828314,TRUE
"5487","PSDQ",327165.921117175,3046600.64828314,TRUE
"5490","FB79",332901.935001458,3039816.6296927,TRUE
"5494","F108",344894.610820417,3018900.59246936,TRUE
"5495","F131",344894.610820417,3018900.59246936,TRUE
"5497","FB78",344894.610820417,3018900.59246936,TRUE
"5499","FB36",332850.757525859,3039687.67312296,TRUE
"5502","F155",333615.101866703,3036500.23319265,TRUE
"5505","FB27",333615.101866703,3036500.23319265,TRUE
"5506","FB36",333615.101866703,3036500.23319265,TRUE
"5509","FB02",342799.768781645,3033110.40312526,TRUE
"5511","F131",342146.685451638,3033617.40772623,TRUE
"5512","FB20",342146.685451638,3033617.40772623,TRUE
"5515","FB92",342146.685451638,3033617.40772623,TRUE
"5516","F106",332392.621314701,3041097.95577403,TRUE
"5519","F118",332468.409170866,3041798.3830376,TRUE
"5521","FB10",332468.409170866,3041798.3830376,TRUE
"5523","FB54",332468.409170866,3041798.3830376,TRUE
"5524","FB90",332468.409170866,3041798.3830376,TRUE
"5525","F118",335366.105180428,3040559.01103648,TRUE
"5527","FB10",335366.105180428,3040559.01103648,TRUE
"5529","FB54",335366.105180428,3040559.01103648,TRUE
"5530","FB90",335366.105180428,3040559.01103648,TRUE
"5532","F118",335689.471267779,3040056.01342462,TRUE
"5533","FB54",335689.471267779,3040056.01342462,TRUE
"5534","F106",336275.203109704,3040768.46828736,TRUE
"5537","F118",335051.358767183,3040378.18064562,TRUE
"5538","F155",335051.358767183,3040378.18064562,TRUE
"5539","FB54",335051.358767183,3040378.18064562,TRUE
"5542","FB79",334819.016024972,3035375.8509485,TRUE
"5543","FB79",336173.91524287,3034360.4017762,TRUE
"5546","FB79",336173.91524287,3034360.4017762,TRUE
"5547","F106",334580.301977874,3040846.62005758,TRUE
"5548","FB05",334580.301977874,3040846.62005758,TRUE
"5556","C834",340134.877055589,3025960.97189735,TRUE
"5573","FB07",329998.427242675,3046616.37791237,TRUE
"5574","FB11",329998.427242675,3046616.37791237,TRUE
"5575","FB65",329998.427242675,3046616.37791237,TRUE
"5576","FB90",329998.427242675,3046616.37791237,TRUE
"5577","FB43",333205.47984155,3042730.26268218,TRUE
"5578","FB05",334580.301977874,3040846.62005758,TRUE
"5581","F106",334580.301977874,3040846.62005758,TRUE
"5583","FB36",345616.273211695,3025152.06721973,TRUE
"5585","FB44",345616.273211695,3025152.06721973,TRUE
"5589","FB05",334073.395098543,3037491.36048581,TRUE
"5592","F106",332478.509499954,3042537.38594815,TRUE
"5593","F155",334546.45116731,3040828.23827511,TRUE
"5595","F155",334460.951129465,3040571.19462142,TRUE
"5598","FB02",341332.063325259,3026646.92938713,TRUE
"5602","TCTV",347175.387528043,3021846.186002,TRUE
"5606","FB44",337017.063304086,3035827.42815898,TRUE
"5609","FB36",337815.920326582,3035151.98754813,TRUE
"5611","FB44",337815.920326582,3035151.98754813,TRUE
"5618","FB66",334137.988724164,3036198.39693735,TRUE
"5620","FB05",334137.988724164,3036198.39693735,TRUE
"5623","FB02",341382.916901273,3026831.32510985,TRUE
"5625","FB05",338322.00510508,3032281.96005379,TRUE
"5627","FB66",338322.00510508,3032281.96005379,TRUE
"5630","TCTV",338322.00510508,3032281.96005379,TRUE
"5633","FB10",332790.064088069,3040020.94575026,TRUE
"5636","FB48",335003.514712639,3046584.43494649,TRUE
"5639","F180",335119.085095576,3046657.12311156,TRUE
"5642","F138",327855.276706184,3047569.46453727,TRUE
"5643","FB09",327855.276706184,3047569.46453727,TRUE
"5644","FB33",327855.276706184,3047569.46453727,TRUE
"5645","FB63",327855.276706184,3047569.46453727,TRUE
"5646","FB36",333565.18188792,3036464.34075295,TRUE
"5651","FB79",333423.877284552,3040621.8049595,TRUE
"5655","F131",337114.278337343,3033239.78861567,TRUE
"5658","F175",336531.845844079,3033986.63268906,TRUE
"5668","F108",345683.570960606,3021273.03165898,TRUE
"5669","FB13",345683.570960606,3021273.03165898,TRUE
"5670","FB15",345683.570960606,3021273.03165898,TRUE
"5671","FB43",345683.570960606,3021273.03165898,TRUE
"5672","FB78",345683.570960606,3021273.03165898,TRUE
"5680","FB36",342467.177889907,3032930.71589658,TRUE
"5682","RTMW",342467.177889907,3032930.71589658,TRUE
"5683","FB55",333771.490416206,3040746.74189963,TRUE
"5684","F106",336365.347801425,3041302.4935613,TRUE
"5687","F138",336365.347801425,3041302.4935613,TRUE
"5688","FB11",336365.347801425,3041302.4935613,TRUE
"5689","FB25",336365.347801425,3041302.4935613,TRUE
"5690","FB63",336365.347801425,3041302.4935613,TRUE
"5691","FB90",336365.347801425,3041302.4935613,TRUE
"5694","FB78",344250.602915169,3024043.43797202,TRUE
"5696","F108",344844.369036667,3026639.90771498,TRUE
"5697","F131",344844.369036667,3026639.90771498,TRUE
"5700","FB36",341885.882218138,3030019.4699029,TRUE
"5702","RTMW",341885.882218138,3030019.4699029,TRUE
"5706","F138",332195.123250474,3042337.3615167,TRUE
"5707","FB05",332195.123250474,3042337.3615167,TRUE
"5708","FB10",332195.123250474,3042337.3615167,TRUE
"5711","FB55",332195.123250474,3042337.3615167,TRUE
"5712","FB63",332195.123250474,3042337.3615167,TRUE
"5713","FB65",332195.123250474,3042337.3615167,TRUE
"5715","FB90",332195.123250474,3042337.3615167,TRUE
"5718","FB65",338377.515231714,3032743.31226414,TRUE
"5719","FB90",338377.515231714,3032743.31226414,TRUE
"5726","HBMB",328172.03513607,3047897.46814148,TRUE
"5739","TSMV",328172.03513607,3047897.46814148,TRUE
"5741","FB44",332834.447550663,3039651.32633798,TRUE
"5743","FB87",332834.447550663,3039651.32633798,TRUE
"5744","FB36",332659.387569544,3040078.13527838,TRUE
"5746","FB44",332659.387569544,3040078.13527838,TRUE
"5749","FB87",332659.387569544,3040078.13527838,TRUE
"5750","FB02",343239.471846798,3032772.36632133,TRUE
"5751","FB20",343239.471846798,3032772.36632133,TRUE
"5753","FB92",343239.471846798,3032772.36632133,TRUE
"5754","FB10",335676.130150304,3040314.38780703,TRUE
"5762","FB02",344772.360252532,3030112.39085001,TRUE
"5763","FB20",344772.360252532,3030112.39085001,TRUE
"5768","FB65",336309.509841414,3035928.80840492,TRUE
"5769","FB90",336309.509841414,3035928.80840492,TRUE
"5770","F118",330371.18403042,3046212.26147685,TRUE
"5771","FB07",330371.18403042,3046212.26147685,TRUE
"5772","FB09",330371.18403042,3046212.26147685,TRUE
"5773","FB10",330371.18403042,3046212.26147685,TRUE
"5774","FB11",330371.18403042,3046212.26147685,TRUE
"5776","FB54",330371.18403042,3046212.26147685,TRUE
"5777","FB55",330371.18403042,3046212.26147685,TRUE
"5778","FB93",330371.18403042,3046212.26147685,TRUE
"5785","F110",346092.598754403,3023594.83910936,TRUE
"5786","SOLB",346092.598754403,3023594.83910936,TRUE
"5787","FB15",345472.948736909,3020260.68762995,TRUE
"5788","FB43",345472.948736909,3020260.68762995,TRUE
