SightingFID,Date,StartTime,EndTime,SurveyNum,SurveyType,SurveyArea,Subarea,StartLat,StartLon,Sighting,Effort,TDolphinBest,TCalfBest,Behaviors,HumanInteraction,Code,SightingNotes,ConfHI,PossHI
1,03-Oct-70,15:30,16:20,1,C/R (Life History),SB,PSB,27.48112,-82.65303,1,C/R (Life History),2,0,,999,F24A,TAGGED AND RELEASED,0,0
1,03-Oct-70,15:30,16:20,1,C/R (Life History),SB,PSB,27.48112,-82.65303,1,C/R (Life History),2,0,,999,FB26,TAGGED AND RELEASED,0,0
2,03-Oct-70,17:15,17:55,1,C/R (Life History),SB,COR,27.47771,-82.69738,2,C/R (Life History),10,2,,999,FB04,"CAPTURE/TAGGING - FB04 TAGGED AS ""Q-2""",0,0
3,05-Oct-70,12:00,13:35,2,C/R (Life History),SB,BWS,27.39368,-82.63067,1,C/R (Life History),6,,,999,F154,TAGGED AND RELEASED IN CHOP,0,0
3,05-Oct-70,12:00,13:35,2,C/R (Life History),SB,BWS,27.39368,-82.63067,1,C/R (Life History),6,,,999,FB58,TAGGED AND RELEASED IN CHOP,0,0
4,08-Oct-70,13:20,13:45,3,C/R (Life History),SB,CWL,26.92177,-82.3466,1,C/R (Life History),10,,,999,U0U0,KNOB BEND IN TOP OF FIN - 3 INCHES FROM TOP - OLD INJURY,0,0
5,20-Oct-70,15:00,18:15,4,C/R (Life History),SB,NWL,26.9401,-82.36301,1,C/R (Life History),4,,,999,R3R3,"CAUGHT IN LEMON BAY, TAKEN TO FLORIDALAND, DETERMINED TO BE UNSUITABLE ""COMMERCIALLY"". TAGGED AND RELEASED OFF FLORIDALAND (27.14707 N, 82.47207 W)",0,0
6,22-Oct-70,12:00,13:27,5,C/R (Life History),SB,LBS,27.34542,-82.58867,1,C/R (Life History),4,0,,999,F24A,"RECAPTURE OF Q-0, Q-1, Q-3 - WITHOUT TAGS BUT WITH TAG HOLES.",0,0
6,22-Oct-70,12:00,13:27,5,C/R (Life History),SB,LBS,27.34542,-82.58867,1,C/R (Life History),4,0,,999,FB26,"RECAPTURE OF Q-0, Q-1, Q-3 - WITHOUT TAGS BUT WITH TAG HOLES.",0,0
6,22-Oct-70,12:00,13:27,5,C/R (Life History),SB,LBS,27.34542,-82.58867,1,C/R (Life History),4,0,,999,FB58,"RECAPTURE OF Q-0, Q-1, Q-3 - WITHOUT TAGS BUT WITH TAG HOLES.",0,0
6,22-Oct-70,12:00,13:27,5,C/R (Life History),SB,LBS,27.34542,-82.58867,1,C/R (Life History),4,0,,999,FB60,"RECAPTURE OF Q-0, Q-1, Q-3 - WITHOUT TAGS BUT WITH TAG HOLES.",0,0
7,09-Nov-70,,,6,C/R (Life History),SB,BPB,27.5336,-82.7473,1,C/R (Life History),12,,,999,C571,VERY SCARRED. RELEASED BUT RECAPTURED AND TAGGED ON 12NOV70.  WITH LARGER ANIMAL BOTH TIMES.,0,0
8,12-Nov-70,9:00,10:30,7,C/R (Life History),SB,PSB,27.48355,-82.65771,1,C/R (Life History),2,1,,999,C571,FROM PA - P-7 APPEARS TO HAVE BEEN MIS-SEXED. Q-9 APPEARS TO BE CALF OF P-7 (FB57).,0,0
8,12-Nov-70,9:00,10:30,7,C/R (Life History),SB,PSB,27.48355,-82.65771,1,C/R (Life History),2,1,,999,FB57,FROM PA - P-7 APPEARS TO HAVE BEEN MIS-SEXED. Q-9 APPEARS TO BE CALF OF P-7 (FB57).,0,0
9,25-Jan-71,8:15,9:30,8,C/R (Life History),SB,SKF,27.42531,-82.64573,1,C/R (Life History),5,0,,999,F154,"FB26 ESCAPED BEFORE HE COULD BE RETAGGED, WITH ONE OTHER.  RETAG OF FB24, FB58, F154.",0,0
9,25-Jan-71,8:15,9:30,8,C/R (Life History),SB,SKF,27.42531,-82.64573,1,C/R (Life History),5,0,,999,F24A,"FB26 ESCAPED BEFORE HE COULD BE RETAGGED, WITH ONE OTHER.  RETAG OF FB24, FB58, F154.",0,0
9,25-Jan-71,8:15,9:30,8,C/R (Life History),SB,SKF,27.42531,-82.64573,1,C/R (Life History),5,0,,999,FB26,"FB26 ESCAPED BEFORE HE COULD BE RETAGGED, WITH ONE OTHER.  RETAG OF FB24, FB58, F154.",0,0
9,25-Jan-71,8:15,9:30,8,C/R (Life History),SB,SKF,27.42531,-82.64573,1,C/R (Life History),5,0,,999,FB58,"FB26 ESCAPED BEFORE HE COULD BE RETAGGED, WITH ONE OTHER.  RETAG OF FB24, FB58, F154.",0,0
10,30-Jan-71,10:00,10:45,9,C/R (Life History),SB,GSE,26.78028,-82.2317,1,C/R (Life History),6,,,999,R1R1,"3 TAGGED, 3 ESCAPED.",0,0
10,30-Jan-71,10:00,10:45,9,C/R (Life History),SB,GSE,26.78028,-82.2317,1,C/R (Life History),6,,,999,R2R2,"3 TAGGED, 3 ESCAPED.",0,0
10,30-Jan-71,10:00,10:45,9,C/R (Life History),SB,GSE,26.78028,-82.2317,1,C/R (Life History),6,,,999,R4R4,"3 TAGGED, 3 ESCAPED.",0,0
11,18-Feb-71,13:40,,10,C/R (Life History),SB,LPN,27.44304,-82.69944,1,C/R (Life History),8,,,999,F24A,4 HAD TAG SCARS - ONLY FB24 WAS ID'D FROM FIN NOTCH.  ALL WERE RELEASED IMMEDIATELY BECAUSE THEY WERE TOO LARGE.,0,0
12,02-Mar-71,9:20,10:00,11,C/R (Life History),SB,PSB,27.47995,-82.65069,1,C/R (Life History),2,,,999,FB04,"1 ANIMAL ESCAPED AS BAG NEARLY CLOSED.  CAUGHT AND RETAGGED Q-2 AS W-0 - SMALLISH ANIMAL WITH DEFORMED JAW.  FREEZEBRANDED ""4""",0,0
13,18-Mar-71,8:30,9:40,12,C/R (Life History),SB,SKF,27.44477,-82.6746,1,C/R (Life History),2,,,999,FB04,"TAG STILL IN FB04 - CAUGHT, BRANDED AND TAGGED ADULT FEMALE W-2, (FB05).",0,0
13,18-Mar-71,8:30,9:40,12,C/R (Life History),SB,SKF,27.44477,-82.6746,1,C/R (Life History),2,,,999,FB05,"TAG STILL IN FB04 - CAUGHT, BRANDED AND TAGGED ADULT FEMALE W-2, (FB05).",0,0
15,25-Mar-71,9:15,10:05,13,C/R (Life History),SB,PSB,27.47728,-82.65303,1,C/R (Life History),8,,,999,FB17,"SEVEN ANIMALS INCLUDED THE PRESUMED CALF OF Y-2 ESCAPED. Y-2 WAS FREEZEBRANDED ""6""",0,0
14,25-Mar-71,10:45,11:20,13,C/R (Life History),SB,AMS,27.5004,-82.6949,2,C/R (Life History),3,,,999,FB28,"TWO OTHERS ESCAPED Y-3 (MALE) FREEZEBRANDED ""9""",0,0
16,24-May-71,8:30,,14,C/R (Life History),SB,COR,27.45938,-82.68728,1,C/R (Life History),3,,,999,FB05,TAG PARTIALLY BROKEN ID FROM FREEZEBRAND,0,0
17,24-May-71,9:30,,14,C/R (Life History),SB,PSB,27.48112,-82.65322,2,C/R (Life History),2,,,999,FB04,FB04 ID'ED BY FREEZEBRAND. OTHER DOLPHIN HAD TAG SCAR.,0,0
18,10-Jun-71,13:30,,15,No Data,,LSB,27.20594,-82.50985,1,No Data,1,,,999,SIMO,"Dolphin originally caught near ICW #41 (Casey Key) on 24un70 tagged J-0, freezebranded ""01"" and released from Mote's lagoon - followed out midnight pass where he leaped three times and headed south`",0,0
19,17-Jul-71,9:15,10:15,16,C/R (Life History),SB,GSE,26.76894,-82.22798,1,C/R (Life History),2,,,999,P2P2,"P2 = LARGE FEMALE BRANDED ""7""",0,0
20,19-Jul-71,9:25,9:45,17,C/R (Life History),SB,NWL,26.99384,-82.40022,1,C/R (Life History),4,2,,999,P3P3,TWO MOM-CALF PAIRS CAUGHT. MOMS TAGGED. P-3 LOST TAG UPON RELEASE. P-6 STILL HAD TAG AS OF 11:15.,0,0
20,19-Jul-71,9:25,9:45,17,C/R (Life History),SB,NWL,26.99384,-82.40022,1,C/R (Life History),4,2,,999,P6P6,TWO MOM-CALF PAIRS CAUGHT. MOMS TAGGED. P-3 LOST TAG UPON RELEASE. P-6 STILL HAD TAG AS OF 11:15.,0,0
21,27-Jul-71,14:20,15:10,18,C/R (Life History),SB,PSB,27.47803,-82.66758,1,C/R (Life History),8,4,,999,C711,"FEMALE PLUS 198CM CALF CAUGHT FROM GROUP. CORBIN KEPT THE CALF. FEMALE TAGGED J-0, BRANDED ""11"".",0,0
21,27-Jul-71,14:20,15:10,18,C/R (Life History),SB,PSB,27.47803,-82.66758,1,C/R (Life History),8,4,,999,FB71,"FEMALE PLUS 198CM CALF CAUGHT FROM GROUP. CORBIN KEPT THE CALF. FEMALE TAGGED J-0, BRANDED ""11"".",0,0
22,01-Aug-71,9:00,,19,C/R (Life History),SB,NWL,27.00223,-82.40528,1,C/R (Life History),6,,,999,P3P3,TAGS GONE FROM BOTH DOLPHINS BUT HOLES FRESH.,0,0
22,01-Aug-71,9:00,,19,C/R (Life History),SB,NWL,27.00223,-82.40528,1,C/R (Life History),6,,,999,P6P6,TAGS GONE FROM BOTH DOLPHINS BUT HOLES FRESH.,0,0
23,23-Sep-71,8:05,8:40,20,C/R (Life History),SB,GSE,26.81762,-82.2559,1,C/R (Life History),1,0,,999,P9P9,"STRUGGLED IN SLING AT RELEASE - LOST TAG UPON RELEASE. LARGE FEMALE (266CM) BRANDED ""10"".",0,0
24,21-Dec-71,11:00,,21,No Data,,LSB,27.20544,-82.50985,1,No Data,1,0,,999,W1W1,"Caught on 2Dec71 in Big Pass. Brought to Mote for Shark/Dolphin research. Previously released from Floridaland. Freezebrand ""12"", probably ""notch"" from earlier records.",0,0
